Nama Wilayah,2017,2018,2019,2020,2021
ACEH,2.98,2.84,2.64,2.72,2.86
Simeulue,2.78,3.11,3.05,2.21,2.37
Aceh Singkil,5.94,4.85,3.83,3.55,3.67
Aceh Selatan,2.44,1.78,1.58,2.13,1.69
Aceh Tenggara,1.80,2.23,2.37,1.62,2.51
Aceh Timur,2.85,2.03,1.89,2.29,2.31
Aceh Tengah,3.54,1.75,2.08,2.89,2.88
Aceh Barat,4.74,3.91,3.53,2.74,3.82
Aceh Besar,3.42,3.40,2.56,2.40,2.32
Pidie,4.18,4.02,2.99,2.20,3.04
Bireuen,2.99,2.31,1.77,1.95,2.07
Aceh Utara,3.22,3.20,2.44,2.60,2.17
Aceh Barat Daya,2.88,2.15,1.97,3.41,2.88
Gayo Lues,4.66,3.61,3.95,2.44,2.76
Aceh Tamiang,2.26,1.54,1.65,1.61,1.67
Nagan Raya,2.53,3.70,3.17,3.33,3.50
Aceh Jaya,2.29,2.40,2.49,2.19,2.06
Bener Meriah,3.68,2.88,3.09,3.52,4.62
Pidie Jaya,3.26,2.60,2.85,3.08,3.61
Kota Banda Aceh,1.54,1.22,1.34,1.00,1.12
Kota Sabang,2.99,2.64,2.71,1.94,2.80
Kota Langsa,1.67,1.34,1.78,1.60,1.53
Kota Lhokseumawe,1.68,1.72,1.51,1.56,1.87
Kota Subulussalam,3.20,2.67,3.15,2.27,2.29
SUMATERA UTARA,1.71,1.56,1.37,1.51,1.52
Nias,2.05,2.45,2.53,1.91,2.21
Mandailing Natal,1.86,1.48,1.01,1.14,1.44
Tapanuli Selatan,1.41,1.29,0.87,0.87,1.53
Tapanuli Tengah,2.12,1.56,1.64,1.84,2.04
Tapanuli Utara,1.83,1.08,1.60,1.18,1.21
Toba Samosir,1.82,1.25,1.21,1.00,1.34
Labuhan Batu,1.11,1.01,0.87,0.98,1.32
Asahan,2.04,1.51,1.24,1.37,1.90
Simalungun,1.63,1.59,0.99,1.47,1.12
Dairi,1.03,1.77,0.96,1.09,1.24
Karo,1.87,0.95,0.88,1.39,1.23
Deli Serdang,0.47,0.60,0.47,0.55,0.56
Langkat,1.67,1.68,0.90,1.52,1.17
Nias Selatan,2.94,2.49,2.28,2.82,2.38
Humbang Hasundutan,1.16,1.00,0.96,1.29,1.25
Pakpak Bharat,1.18,1.54,0.92,1.38,1.05
Samosir,2.44,1.70,1.63,1.84,2.20
Serdang Bedagai,1.32,1.10,1.32,0.98,0.87
Batu Bara,1.46,2.22,1.63,1.61,1.99
Padang Lawas Utara,1.54,1.41,1.18,1.20,1.29
Padang Lawas,1.17,1.07,1.64,1.19,1.33
Labuhan Batu Selatan,1.79,1.42,1.12,0.99,1.22
Labuhan Batu Utara,1.43,1.73,1.66,1.87,1.07
Nias Utara,5.30,5.10,4.38,4.12,4.24
Nias Barat,4.68,4.36,3.34,3.21,3.32
Kota Sibolga,2.12,2.23,1.26,1.49,2.04
Kota Tanjung Balai,1.98,2.25,1.69,1.69,1.72
Kota Pematang Siantar,1.30,1.69,0.70,1.10,1.12
Kota Tebing Tinggi,2.32,1.91,1.47,1.74,1.37
Kota Medan,1.56,1.50,1.16,1.08,1.10
