UMKM,2018,2019,2020
" Pertanian, Perburuan dan Kehutanan",89560,109544,130012
 Perikanan,7200,9379,11416
 Pertambangan dan Penggalian,6608,8544,8039
 Industri Pengolahan,99028,111401,112601
" Listrik, gas dan air",4307,6669,4039
 Konstruksi,62521,72033,59164
 Perdagangan Besar dan Eceran,499248,548276,530653
 Penyediaan akomodasi dan makan minum,37877,45137,50623
" Transportasi, pergudangan dan komunikasi",37975,44767,42710
 Perantara Keuangan,16267,17233,12167
" Real Estate, Usaha Persewaan, dan Jasa Perusahaan",48371,58428,50702
" Admistrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",532,160,100
 Jasa Pendidikan,3612,6872,7235
 Jasa Kesehatan dan Kegiatan Sosial,8131,11718,10257
" Jasa Kemasyarakatan, Sosial Budaya, Hiburan dan Perorangan lainnya",46281,53399,54513
 Jasa Perorangan yang Melayani Rumah Tangga,2199,3093,2875
 Badan Internasional dan Badan Ekstra Internasional Lainnya,4,6,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
